2025-05-24 at 16:32:52 | INFO | Application starting up...
2025-05-24 at 16:35:26 | INFO | Application starting up...
2025-05-24 at 16:35:26 | INFO | Application shutting down...
2025-05-24 at 16:36:34 | INFO | Application shutting down...
2025-05-24 at 16:36:35 | INFO | Application starting up...
2025-05-24 at 16:36:45 | INFO | Application shutting down...
2025-05-24 at 16:36:46 | INFO | Application starting up...
2025-05-24 at 16:36:56 | INFO | Application shutting down...
2025-05-24 at 16:36:57 | INFO | Application starting up...
2025-05-24 at 16:37:11 | INFO | Application shutting down...
2025-05-24 at 16:37:12 | INFO | Application starting up...
2025-05-24 at 16:37:21 | INFO | Application shutting down...
